Song Name 	 Artist Name 	 Genres 	 Acousticness 	 Danceability 	 Energy 	Instrumentalness 	 Liveness 	 Speechiness 
American Daydream	Electric Guest	alternative dance,indie pop,indie poptimism,indie psych-rock,indie rock,indietronica,la indie,modern rock,shimmer pop,synthpop	0.154	0.666	0.473	0.00317	0.109	0.0454	
The Bait	Electric Guest	alternative dance,indie pop,indie poptimism,indie psych-rock,indie rock,indietronica,la indie,modern rock,shimmer pop,synthpop	0.00124	0.777	0.628	0.0211	0.101	0.0298	
Tessellate	alt-J	indie rock,modern rock	0.364	0.702	0.607	0.0263	0.123	0.0405	
Animaux	Kidnap Kid	future garage,house,tropical house	0.212	0.805	0.505	0.707	0.186	0.101	
Dontcha	The Internet	deep indie r&b,escape room,hip hop,indie r&b,neo soul,pop rap,r&b,rap	0.0266	0.845	0.466	0.0195	0.141	0.063	
King Without a Crown - Live	Matisyahu	reggae fusion	0.0876	0.604	0.771	0	0.716	0.0609	
Teachers	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.000507	0.462	0.961	1.47e-05	0.158	0.0936	
Starry Eyed	Ellie Goulding	dance pop,metropopolis,neo mellow,pop,post-teen pop,tropical house	0.135	0.513	0.822	7.2e-06	0.194	0.035	
There He Go	ScHoolboy Q	gangster rap,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.451	0.835	0.754	0	0.107	0.318	
Fifteen - Hardwell Edit	Blasterjaxx	big room,deep big room,dutch house,edm,electro house,progressive electro house,progressive house,sky room,tropical house	0.00084	0.736	0.819	0.828	0.102	0.0469	
Fifteen - Hardwell Edit	Blasterjaxx	big room,deep big room,dutch house,edm,electro house,progressive electro house,progressive house,sky room,tropical house	0.00084	0.736	0.819	0.828	0.102	0.0469	
House	Kindness	alternative dance,chillwave,indie r&b,indietronica,new rave	0.0967	0.682	0.436	0.00025	0.12	0.0642	
My Number	Foals	alternative dance,alternative rock,dance-punk,garage rock,indie pop,indie rock,indietronica,math pop,modern rock,new rave	0.0319	0.639	0.744	0.000458	0.466	0.0368	
Rill Rill	Sleigh Bells	alternative dance,brooklyn indie,chillwave,dance-punk,dream pop,escape room,indie christmas,indie pop,indie r&b,indie rock,indietronica,modern rock,neo-psychedelic,new rave,noise pop,nu gaze,pop christmas,shimmer pop,synthpop	0.0356	0.483	0.804	1.6e-06	0.0736	0.0501	
Sonnentanz (Sun Don’t Shine)	Klangkarussell	deep euro house,deep tropical house,tropical house	0.18	0.694	0.556	0.0284	0.105	0.0892	
Flexx - Radio Edit	Wolfgang Gartner	big room,brostep,catstep,complextro,deep big room,edm,electro house,electronic trap,house,moombahton,progressive electro house,progressive house	0.000502	0.596	0.956	4.12e-05	0.312	0.103	
Save the World - Knife Party Remix	Swedish House Mafia	big room,edm,electro house,house,pop,pop rap,progressive electro house,tropical house	0.00142	0.721	0.951	0.156	0.127	0.1	
Faith - Radio Edit	Blasterjaxx	big room,deep big room,dutch house,edm,electro house,progressive electro house,progressive house,sky room,tropical house	0.00636	0.672	0.692	0.00231	0.187	0.0486	
Somebody Told Me	The Killers	alternative rock,indie christmas,indie pop,indie rock,modern rock,permanent wave,pop christmas,rock,vegas indie	0.000123	0.5	0.975	0.000379	0.104	0.0824	
Sherane a.k.a Master Splinter’s Daughter	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.502	0.552	0.512	0.00715	0.12	0.513	
High You Are - Branchez Remix	What So Not	aussietronica,bass trap,brostep,deep australian indie,edm,electro house,electronic trap,escape room,moombahton,vapor soul,vapor twitch	0.0557	0.69	0.857	0.11	0.0341	0.0405	
The Ghost Inside	Broken Bells	alternative dance,alternative rock,chamber pop,dance-punk,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,la indie,modern rock,neo-psychedelic,new rave,shimmer pop,stomp and holler,synthpop	0.0571	0.869	0.7	0.414	0.0691	0.0419	
The Wave - Thomas Gold Remix	Miike Snow	alternative dance,indie pop,indie rock,indietronica,modern rock,new rave,shimmer pop,swedish synthpop,synthpop	0.00592	0.654	0.96	0.578	0.0437	0.0754	
S_M_A_S_H - Blende Remix	Surrender!	none 	0.0119	0.666	0.929	0.795	0.0556	0.0566	
Not Giving In - feat. John Newman & Alex Clare	Rudimental	edm,house,liquid funk,pop,tropical house,uk funky	0.0169	0.465	0.639	0.00261	0.155	0.0632	
Parks On Fire	Trifonic	chillstep,deep chiptune,psychill,substep	0.147	0.483	0.617	0.528	0.21	0.0466	
Stars Troll - Radio Edit	Kaskade	big room,brostep,chicago house,edm,electro house,electronic trap,house,progressive electro house,progressive house,tropical house,vocal house	0.00688	0.547	0.911	0.00877	0.706	0.236	
Afterglow	Wilkinson	deep groove house,drum and bass,house,liquid funk,tropical house	0.0248	0.515	0.905	0.00103	0.123	0.0509	
Fineshrine	Purity Ring	alternative dance,chillwave,escape room,grave wave,indie pop,indie poptimism,indie r&b,indietronica,metropopolis,modern rock,pop,shimmer pop,synthpop	0.018	0.609	0.798	8.68e-06	0.434	0.0404	
Crave You (Adventure Club Remix)	Flight Facilities	alternative dance,aussietronica,australian dance,deep australian indie,indietronica,nu disco,tropical house	0.00586	0.634	0.692	0.000116	0.0726	0.0997	
What Makes A Good Man?	The Heavy	funk,garage rock,modern blues,modern rock	0.000259	0.456	0.803	0.000368	0.291	0.0786	
Short Change Hero	The Heavy	funk,garage rock,modern blues,modern rock	0.29	0.68	0.64	0.00593	0.124	0.0336	
Bad Dreams	Phantogram	alternative dance,chillwave,indie pop,indie r&b,indie rock,indietronica,metropopolis,modern rock,new rave,shimmer pop,synthpop	2.83e-05	0.553	0.82	0.127	0.0928	0.04	
Man Of The Year	ScHoolboy Q	gangster rap,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.00539	0.749	0.857	0	0.192	0.0435	
RIOT - Original Mix	Arty	big room,deep big room,edm,electro house,progressive electro house,progressive house,progressive trance,trance,tropical house,uplifting trance	0.00102	0.571	0.952	0.432	0.0629	0.0513	
Why'd You Only Call Me When You're High?	Arctic Monkeys	garage rock,indie rock,modern rock,permanent wave,sheffield indie	0.0483	0.691	0.631	1.13e-05	0.104	0.0368	
Knee Socks	Arctic Monkeys	garage rock,indie rock,modern rock,permanent wave,sheffield indie	0.123	0.665	0.542	0.00291	0.342	0.033	
Need To Know	Wilkinson feat. Iman	none 	0.00728	0.538	0.855	0.0025	0.157	0.234	
Jaguar	What So Not	aussietronica,bass trap,brostep,deep australian indie,edm,electro house,electronic trap,escape room,moombahton,vapor soul,vapor twitch	0.0526	0.555	0.882	7.67e-05	0.16	0.19	
Electronic Dream	araabMUZIK	electronic trap,vapor twitch	0.279	0.358	0.962	0	0.244	0.505	
Collard Greens	ScHoolboy Q	gangster rap,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.0233	0.824	0.572	8.19e-06	0.208	0.0652	
Wicked Games	The Weeknd	canadian pop,pop,rap	0.0103	0.66	0.61	1.28e-06	0.356	0.0321	
One For The Road	Arctic Monkeys	garage rock,indie rock,modern rock,permanent wave,sheffield indie	0.212	0.415	0.668	0.0615	0.27	0.036	
Hype - Original Mix	Deorro	big room,dance pop,deep big room,edm,electro house,melbourne bounce,pop,progressive electro house,tropical house	0.0266	0.727	0.776	0.0164	0.0913	0.0548	
Can't Stop Running (feat. Jay Buchanan & Doll Knight)	Bzzz	none 	0.0106	0.599	0.713	0	0.357	0.0869	
Where You Should Be	Skream ft. Sam Frank	none 	0.0153	0.506	0.69	0.0148	0.188	0.0406	
Little Dragon	Sunshine	czech rock	0.106	0.798	0.523	0.347	0.0633	0.0444	
Don’t Stop	Dada Life	big room,brostep,complextro,deep big room,edm,electro house,electronic trap,moombahton,progressive electro house,progressive house	0.0158	0.628	0.616	0.539	0.074	0.0396	
Fly By Night Only (feat. Yaarrohs)	The Glitch Mob	brostep,chillstep,edm,electro house,glitch,glitch hop	6.7e-05	0.552	0.869	0.148	0.098	0.0872	
Break The Bank	ScHoolboy Q	gangster rap,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.134	0.396	0.808	4.92e-06	0.335	0.112	
Concrete Angel - Radio Edit	Gareth Emery	big room,edm,electro house,progressive electro house,progressive house,progressive trance,trance,tropical house,uplifting trance	0.0107	0.631	0.893	0.00632	0.147	0.0411	
Rise (Dirty South Edit)	Michael Brun	big room,deep big room,deep tropical house,edm,electro house,progressive electro house,progressive house,tropical house	8.76e-05	0.54	0.889	0.938	0.0621	0.0427	
Halfway (feat. Zashanell)	Michael Brun	big room,deep big room,deep tropical house,edm,electro house,progressive electro house,progressive house,tropical house	0.00167	0.613	0.834	0.195	0.0525	0.0449	
Five Hours	Deorro	big room,dance pop,deep big room,edm,electro house,melbourne bounce,pop,progressive electro house,tropical house	0.0197	0.88	0.821	0.661	0.234	0.118	
Dechorro - Original Mix	Deorro	big room,dance pop,deep big room,edm,electro house,melbourne bounce,pop,progressive electro house,tropical house	0.00465	0.769	0.837	0.115	0.122	0.0696	
Yee - Radio Edit	Deorro	big room,dance pop,deep big room,edm,electro house,melbourne bounce,pop,progressive electro house,tropical house	0.143	0.717	0.993	0.855	0.108	0.0457	
GameBoy - Original Mix	Heat Maxwell	none 	0.000399	0.667	0.745	0.848	0.311	0.142	
FreakShow	Heat Maxwell	none 	0.000284	0.673	0.921	0.793	0.293	0.0705	
Faith - Radio Edit	Blasterjaxx	big room,deep big room,dutch house,edm,electro house,progressive electro house,progressive house,sky room,tropical house	0.00689	0.673	0.693	0.00438	0.209	0.0441	
Shake	The Head and the Heart	acoustic pop,chamber pop,folk christmas,folk-pop,indie christmas,indie folk,indie pop,modern rock,neo mellow,new americana,seattle indie,stomp and holler	0.472	0.48	0.79	0.713	0.155	0.0353	
You	Galantis	big room,dance pop,edm,electro house,pop,tropical house	0.00837	0.184	0.871	0.167	0.15	0.0661	
U	Gareth Emery	big room,edm,electro house,progressive electro house,progressive house,progressive trance,trance,tropical house,uplifting trance	0.0389	0.608	0.791	0.0111	0.187	0.0336	
Smash (Original Mix)	Landis	none 	0.00293	0.789	0.838	0.742	0.0922	0.0401	
Alive (feat. Kate Elsworth)	Dirty South	australian dance,big room,deep big room,disco house,edm,electro house,house,progressive electro house,progressive house,sky room,tropical house	0.00214	0.743	0.601	0.0881	0.017	0.055	
When You Loved Me	Boom Jinx	progressive house,progressive trance,progressive trance house,trance,uplifting trance	0.00685	0.691	0.659	0.191	0.0807	0.0891	
Something Good Can Work (RAC Remix)	Two Door Cinema Club	alternative dance,indie pop,indie rock,indietronica,irish rock,modern rock,new rave	0.217	0.661	0.857	0.00163	0.0954	0.0371	
Beam - Dannic Mix	Mako	big room,deep pop edm,deep tropical house,edm,electro house,indie poptimism,progressive electro house,tracestep,tropical house	0.0138	0.606	0.912	0.032	0.127	0.0691	
No Fire (feat. Rachel Hirons)	Protostar	catstep,tracestep	0.0291	0.528	0.889	6.37e-06	0.0741	0.0593	
Strange Feeling - Bonus Track	Panama	alternative dance,chillwave,deep australian indie,indie poptimism,indie psych-rock,indietronica,nu disco,shimmer pop,vapor soul	0.00581	0.606	0.68	0.139	0.299	0.0338	
Where We Should Be	Cherub	indietronica,modern rock	0.939	0.863	0.451	0	0.0617	0.14	
Klapp Klapp	Little Dragon	alternative dance,chillwave,dance-punk,deep indie r&b,downtempo,electronic,escape room,indie pop,indie r&b,indietronica,neo soul,new rave,shimmer pop,swedish synthpop,synthpop,trip hop,vapor soul	0.0688	0.658	0.86	0.000167	0.457	0.0686	
Heartache Fetish	Young & Sick	vapor pop	0.529	0.729	0.529	0	0.385	0.0656	
Love Is to Die	Warpaint	alternative dance,chamber pop,chamber psych,chillwave,dance-punk,dream pop,freak folk,garage rock,indie folk,indie pop,indie r&b,indie rock,indietronica,la indie,modern rock,neo-psychedelic,new rave,noise pop,nu gaze,synthpop,trip hop	0.254	0.431	0.639	0.352	0.0856	0.034	
Petition	Tennis	alternative dance,chamber pop,chillwave,dream pop,folk-pop,freak folk,indie folk,indie pop,indie psych-rock,indie r&b,indie rock,indietronica,modern rock,neo-psychedelic,noise pop,nu gaze,preverb,shimmer pop,stomp and holler,synthpop	0.0688	0.686	0.885	0.0969	0.19	0.027	
Stay Awake	Ellie Goulding	dance pop,metropopolis,neo mellow,pop,post-teen pop,tropical house	0.0028	0.414	0.854	1.26e-06	0.352	0.0382	
Help	Galantis	big room,dance pop,edm,electro house,pop,tropical house	0.169	0.487	0.78	0	0.0886	0.054	
Right Here - feat. Foxes	Rudimental	edm,house,liquid funk,pop,tropical house,uk funky	0.000445	0.303	0.695	0.454	0.115	0.0536	
Spoons - feat. MNEK & Syron	Rudimental	edm,house,liquid funk,pop,tropical house,uk funky	0.061	0.833	0.52	0.275	0.104	0.111	
Family (Blended Babies Remix) [feat. Vic Mensa]	Chance The Rapper	pop rap,rap	0.0299	0.658	0.633	0	0.355	0.316	
Best Friend	Foster The People	alternative dance,indie pop,indie rock,indietronica,la indie,modern rock	0.00933	0.651	0.866	0	0.113	0.0584	
Nevermind - alternate version	Foster The People	alternative dance,indie pop,indie rock,indietronica,la indie,modern rock	0.894	0.599	0.136	5.16e-05	0.117	0.0325	
The Truth	Foster The People	alternative dance,indie pop,indie rock,indietronica,la indie,modern rock	0.0103	0.516	0.804	0.0115	0.0981	0.0478	
How Did I Get Here	ODESZA	chillwave,edm,indietronica,ninja,tropical house	0.39	0.706	0.577	0.692	0.407	0.0299	
My Friends Never Die	ODESZA	chillwave,edm,indietronica,ninja,tropical house	0.00439	0.489	0.595	0.878	0.0855	0.0374	
IPlayYouListen	ODESZA	chillwave,edm,indietronica,ninja,tropical house	0.0241	0.577	0.747	0.0864	0.113	0.0359	
Warm Thoughts	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.133	0.554	0.895	0	0.504	0.105	
Drop the Game	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.592	0.559	0.67	0.000184	0.171	0.0474	
Waves	Joey Bada$$	hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.0944	0.591	0.892	0	0.113	0.293	
This Song Is Not About a Girl	Flume	aussietronica,australian alternative rock,australian dance,downtempo,tropical house	0.143	0.732	0.668	0.207	0.176	0.126	
Coastin' feat. K. Flay	Zion I	abstract hip hop,alternative hip hop,hip hop,pop rap,underground pop rap,underground rap	0.0303	0.816	0.694	0.00122	0.109	0.0521	
Hanging Gardens	Classixx	alternative dance,chillwave,electrofox,filter house,indie poptimism,indie r&b,indietronica,new rave,nu disco,shimmer pop,vapor soul	0.0979	0.678	0.799	0.787	0.266	0.0458	
Slow Down	Poolside	alternative dance,chillwave,indietronica,new rave,nu disco	0.0989	0.7	0.718	0.0609	0.218	0.0535	
Magic	Coldplay	permanent wave,pop,pop christmas	0.0262	0.738	0.483	0.616	0.106	0.0403	
A Bad Place - Minnesota Remix	Shotgun Radio	none 	0.0166	0.523	0.821	0.0086	0.114	0.04	
Stardust Redux	Minnesota	brostep,chillstep,electronic trap,glitch hop,vapor twitch	0.0217	0.471	0.948	0.394	0.382	0.0762	
Can Do It	Atu	deep indie r&b,indie r&b	0.295	0.562	0.512	0.848	0.0869	0.0366	
Blind Spot	Submotion Orchestra	bass music,future garage,indie jazz,ninja,substep	0.0745	0.394	0.479	0.0758	0.126	0.0309	
Horizons Feat. Veela - Moleman Remix	Feint	brostep,catstep,chillstep,complextro,edm,electro house,tracestep	0.266	0.528	0.897	0.199	0.497	0.0405	
Gooey	Glass Animals	gauze pop,indie r&b,indietronica,modern rock,shiver pop	0.754	0.494	0.375	3.06e-05	0.085	0.0476	
Busy Earnin'	Jungle	indie r&b,indietronica,new rave	0.11	0.539	0.846	3.9e-05	0.11	0.0376	
Embrace (Cyclist Remix)	Goldroom	alternative dance,chillwave,indie poptimism,indie psych-rock,indietronica,nu disco,shimmer pop,tropical house,vapor soul	0.00449	0.656	0.659	0.0495	0.09	0.0321	
Lazaretto	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.00428	0.325	0.831	3.72e-05	0.091	0.0811	
Street Knock	Swizz Beatz & A$Ap Rocky	none 	0.0478	0.586	0.594	0	0.0946	0.335	
Gasoline	Alpine	alternative dance,deep australian indie,indietronica	0.0828	0.62	0.622	0	0.335	0.0276	
Hung On Tight	Snakadaktal	aussietronica,australian alternative rock,deep australian indie,shimmer pop	0.103	0.652	0.884	0.307	0.134	0.0812	
Truffle Pig	Tommy Trash	australian dance,big room,brostep,deep big room,edm,electro house,electronic trap,house,moombahton,progressive electro house,progressive house,sky room	0.00194	0.781	0.813	0.435	0.311	0.0829	
Love Vibrations - Radio Edit	Dada Life	big room,brostep,complextro,deep big room,edm,electro house,electronic trap,moombahton,progressive electro house,progressive house	0.00325	0.613	0.972	0.506	0.0322	0.0918	
Who Is Ready To Jump	Chuckie	big room,deep big room,dutch house,edm,electro house,house,melbourne bounce,moombahton,progressive electro house,progressive house,sky room	0.00396	0.744	0.829	0.512	0.348	0.0733	
Love Is All I Got	Feed Me	brostep,catstep,chillstep,complextro,edm,electro house,electronic trap,filthstep,moombahton,zapstep	0.00081	0.617	0.776	0	0.458	0.0448	
One Click Headshot - Original Mix	Feed Me	brostep,catstep,chillstep,complextro,edm,electro house,electronic trap,filthstep,moombahton,zapstep	0.000364	0.677	0.91	0.00842	0.35	0.063	
Shadow in the Rose Garden	The M Machine	brostep,catstep,complextro,deep chiptune,edm,electro house,moombahton,vapor twitch	0.00019	0.511	0.92	0.00239	0.325	0.148	
The Palace	The M Machine	brostep,catstep,complextro,deep chiptune,edm,electro house,moombahton,vapor twitch	0.00294	0.414	0.637	0.0702	0.11	0.0427	
Faces	The M Machine	brostep,catstep,complextro,deep chiptune,edm,electro house,moombahton,vapor twitch	0.0655	0.591	0.727	0.000902	0.313	0.167	
Happy Violence - Vocal Radio Edit	Dada Life	big room,brostep,complextro,deep big room,edm,electro house,electronic trap,moombahton,progressive electro house,progressive house	0.00137	0.576	0.738	0.000233	0.129	0.0562	
No Beef - Vocal Mix	Afrojack	big room,dance pop,deep big room,dutch house,edm,electro house,pop,progressive electro house,progressive house,tropical house	0.0229	0.741	0.838	0.309	0.0649	0.0405	
Next Big Thing	Throttle	catstep,deep big room,deep tropical house,edm,electro house,house,progressive electro house,tropical house	0.0187	0.739	0.629	0.0274	0.0443	0.0904	
A Little Closer	Julien Jabre	deep house,vocal house	0.0313	0.623	0.634	0.293	0.073	0.0335	
Confess To Me	Disclosure	house,pop,tropical house	0.0298	0.799	0.784	0.000605	0.188	0.13	
Taro	alt-J	indie rock,modern rock	0.778	0.356	0.48	0.00327	0.0784	0.0347	
Hunger Of The Pine	alt-J	indie rock,modern rock	0.795	0.36	0.434	0.0317	0.0995	0.0313	
Between Two Dreams - Machinedrum Convergence	The Glitch Mob	brostep,chillstep,edm,electro house,glitch,glitch hop	0.00423	0.602	0.64	0.744	0.19	0.178	
Changes	Faul & Wad Ad	deep house,tropical house	0.00864	0.822	0.704	0.627	0.0633	0.0374	
Never Get Close	The Slow Revolt	chamber psych,vapor pop	0.288	0.689	0.733	0.421	0.124	0.0462	
Clean Slate	TOKiMONSTA	chillhop,chillwave,deep indie r&b,electronic trap,escape room,future funk,indie r&b,indietronica,vapor soul,vapor twitch,wonky	0.198	0.62	0.857	0.00112	0.249	0.0574	
Mind of a Beast	The Glitch Mob	brostep,chillstep,edm,electro house,glitch,glitch hop	2.72e-05	0.473	0.955	0.902	0.0627	0.054	
Crime	Al Bizzare	complextro	0.00304	0.563	0.868	0.885	0.0822	0.228	
Mist [Mix Cut]	Feaver	none 	0.0461	0.486	0.808	0.76	0.119	0.119	
Go	Grimes	alternative dance,chillwave,dream pop,escape room,grave wave,indie pop,indie r&b,indietronica,metropopolis,new rave,pop,shimmer pop,synthpop	0.0107	0.621	0.796	0.187	0.0719	0.0327	
Left Hand Free	alt-J	indie rock,modern rock	0.462	0.697	0.877	0.00943	0.083	0.0462	
Phone Call - Score	Jon Brion	soundtrack	0.982	0.498	0.377	0.938	0.107	0.0474	
Faded	ZHU	edm,electro house,electronic trap,house,tropical house	0.00872	0.863	0.475	0.116	0.122	0.0488	
Faded - Odesza Remix	ZHU	edm,electro house,electronic trap,house,tropical house	0.036	0.749	0.682	0.205	0.113	0.0588	
Flashing Lights	Laidback Luke	big room,brostep,deep big room,deep groove house,dutch house,edm,electro house,electronic trap,house,moombahton,progressive electro house,progressive house,sky room,tropical house	0.00797	0.721	0.961	0.834	0.412	0.0494	
Color of My Soul	Pretty Lights	brostep,edm,electronic trap,glitch hop,jam band	0.00969	0.43	0.932	0.192	0.348	0.142	
Moon Rise	TOKiMONSTA	chillhop,chillwave,deep indie r&b,electronic trap,escape room,future funk,indie r&b,indietronica,vapor soul,vapor twitch,wonky	0.0886	0.262	0.424	0.000196	0.125	0.029	
Fallen	Submotion Orchestra	bass music,future garage,indie jazz,ninja,substep	0.0811	0.301	0.554	0.479	0.161	0.0386	
Come a Little Closer	Cage The Elephant	alternative rock,garage rock,indie pop,indie rock,modern rock,punk blues	0.0177	0.454	0.788	1.36e-06	0.181	0.0309	
Aberdeen	Cage The Elephant	alternative rock,garage rock,indie pop,indie rock,modern rock,punk blues	0.000913	0.154	0.972	0.247	0.368	0.111	
Xxplosive	Dr. Dre	g funk,gangster rap,hip hop,pop rap,rap,southern hip hop,west coast rap	0.191	0.767	0.881	8.29e-06	0.139	0.109	
Anything Is Everything	The Dynospectrum	abstract hip hop,underground rap	0.0021	0.898	0.546	0.00015	0.426	0.313	
Houdini (RAC Mix)	Foster The People	alternative dance,indie pop,indie rock,indietronica,la indie,modern rock	0.458	0.677	0.92	0.373	0.105	0.0411	
Biscuit	Portishead	alternative rock,electronic,laboratorio,trip hop	0.749	0.735	0.457	0.0408	0.0618	0.108	
Ooooooh	Super Flu	deep euro house,deep melodic euro house,microhouse,minimal tech house,minimal techno,tech house	0.000381	0.808	0.736	0.855	0.0678	0.043	
Crazy - Nôze Remix Extended Club Version	Ornette	french indie pop	0.0309	0.892	0.544	0.0362	0.107	0.0549	
Wicked Games - Radio Edit	Parra for Cuva	deep euro house,deep tropical house,downtempo,tropical house	0.0667	0.801	0.641	0.0244	0.172	0.0455	
Borrowed Places	Luis Leon	none 	0.0236	0.715	0.691	0.439	0.111	0.0434	
Ms. Fat Booty	Mos Def	alternative hip hop,dirty south rap,east coast hip hop,gangster rap,hardcore hip hop,hip hop,neo soul,pop rap,rap,southern hip hop	0.148	0.781	0.589	0	0.166	0.21	
Kuaga - Original Mix	Pierce Fulton	big room,brostep,catstep,complextro,deep big room,deep tropical house,edm,electro house,indie poptimism,progressive electro house,progressive house,tropical house	0.00379	0.723	0.912	0.729	0.0554	0.0783	
Blowfish - Original Mix	Quintino	bass trap,big room,brostep,deep big room,dutch house,edm,electro house,house,progressive electro house,progressive house,sky room,tropical house	0.0065	0.647	0.923	0.824	0.0824	0.0475	
Revolusion	Elliphant	pop,swedish indie pop	0.127	0.579	0.886	0.000715	0.334	0.499	
MYB - Tchami Remix	Oliver	bubblegum pop,electro house,filter house,nu disco	0.0182	0.737	0.901	0.766	0.0497	0.0359	
Figure It Out	Royal Blood	alternative rock,garage rock,indie rock,modern rock,rock	0.262	0.657	0.817	0.00674	0.248	0.0554	
I Got U	Duke Dumont	deep groove house,destroy techno,edm,house,progressive house,tropical house	0.00409	0.657	0.757	0.00721	0.0895	0.0358	
Hey Mami	Sylvan Esso	chamber pop,etherpop,folk-pop,indie folk,indie pop,indie poptimism,indie r&b,indie rock,indietronica,modern rock,shimmer pop,synthpop,vapor soul	0.306	0.768	0.749	1.21e-05	0.397	0.497	
Home in Your Head	Thundamentals	australian hip hop,deep australian indie	0.447	0.779	0.547	0.172	0.528	0.0926	
Wolf	Sylvan Esso	chamber pop,etherpop,folk-pop,indie folk,indie pop,indie poptimism,indie r&b,indie rock,indietronica,modern rock,shimmer pop,synthpop,vapor soul	0.857	0.733	0.332	0.00257	0.294	0.0488	
Shake It Off	Us The Duo	channel pop,indiecoustica,neo mellow,pop,post-teen pop,viral pop	0.705	0.503	0.378	2.44e-06	0.472	0.0363	
Daps	Ground Up	deep underground hip hop,underground pop rap	0.076	0.631	0.424	0	0.0848	0.453	
Stolen Dance	Milky Chance	german pop,modern rock	0.41	0.887	0.584	0.000314	0.101	0.0381	
Down By The River	Milky Chance	german pop,modern rock	0.732	0.67	0.702	2.8e-05	0.107	0.0516	
One Day (Vandaag) - Radio Edit	Bakermat	deep euro house,deep tropical house,edm,house,minimal tech house,tropical house	0.716	0.656	0.594	0.0802	0.376	0.0307	
I Love You	Lido	electronic trap,norwegian hip hop,vapor twitch	0.000821	0.621	0.621	0.0395	0.855	0.0885	
So High	Ghost Loft	deep indie r&b,gauze pop,indie poptimism,indie r&b,vapor soul,vapor twitch	0.251	0.414	0.426	0.877	0.0995	0.0351	
Got Damn	Ground Up	deep underground hip hop,underground pop rap	0.0128	0.745	0.696	3.88e-06	0.0979	0.212	
Bills	Ground Up	deep underground hip hop,underground pop rap	0.52	0.624	0.531	8.45e-06	0.111	0.173	
Black & Gold - Marcussen Album Version	Sam Sparro	alternative dance,australian dance	0.00513	0.615	0.7	9.13e-05	0.114	0.0372	
Errors In My Bread	deadmau5	big room,edm,electro house,progressive house	0.00107	0.508	0.552	0.848	0.115	0.0658	
Bad Thing	Kiesza	pop,tropical house	0.488	0.862	0.512	1.84e-05	0.162	0.202	
Island (Nôze Remix)	Dapayk & Padberg	deep euro house,deep melodic euro house,german techno,microhouse,minimal techno,tech house	0.424	0.888	0.329	0.38	0.17	0.0625	
Like You Used To	Kidnap Kid	future garage,house,tropical house	0.117	0.696	0.459	0.495	0.0823	0.0287	
Breathin' - Radio Mix	EDX	big room,deep big room,deep groove house,deep tropical house,edm,electro house,house,progressive electro house,progressive house,tropical house	0.0453	0.689	0.829	0.000154	0.181	0.0494	
Building Steam With A Grain Of Salt	DJ Shadow	alternative hip hop,big beat,downtempo,electronic,hip hop,nu jazz,trip hop,turntablism	0.411	0.618	0.84	0.939	0.0965	0.0294	
Eden	Ben Khan	none 	0.273	0.713	0.5	0.0514	0.0708	0.1	
Savage	Ben Khan	none 	0.294	0.486	0.705	0	0.142	0.522	
BTSTU (Edit)	Jai Paul	indie r&b	0.745	0.665	0.389	0.000982	0.326	0.441	
Cadillactica	Big K.R.I.T.	alternative hip hop,crunk,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop	0.174	0.701	0.777	0	0.399	0.361	
Something I Said	Thundamentals	australian hip hop,deep australian indie	0.0433	0.751	0.881	9.95e-06	0.355	0.103	
Ivory	MOVEMENT	deep indie r&b,indie r&b,vapor soul	0.0968	0.552	0.433	0.421	0.109	0.331	
Like Lust	MOVEMENT	deep indie r&b,indie r&b,vapor soul	0.384	0.478	0.6	0.808	0.0987	0.0356	
Wildfire	SBTRKT	alternative dance,bass music,chillwave,deep indie r&b,escape room,future garage,indie r&b,indietronica,neo soul,new rave,uk garage	0.0308	0.835	0.481	0.000501	0.0896	0.387	
High	Peking Duk	deep australian indie,edm	0.00129	0.525	0.803	0.000868	0.29	0.0492	
Sober	Childish Gambino	indie r&b,pop rap,rap	0.0972	0.699	0.601	1.17e-05	0.562	0.0304	
I Need My Memory Back (feat. Aja Volkman)	The Glitch Mob	brostep,chillstep,edm,electro house,glitch,glitch hop	0.000423	0.653	0.892	0.343	0.151	0.0842	
Dangerous - Oliver Remix	Big Data	brooklyn indie,metropopolis	0.0433	0.853	0.821	0.0899	0.1	0.0558	
Dangerous (feat. Joywave)	Big Data	brooklyn indie,metropopolis	0.011	0.757	0.578	0.00672	0.127	0.0386	
