Song Name 	 Artist Name 	 Genres 	 Acousticness 	 Danceability 	 Energy 	Instrumentalness 	 Liveness 	 Speechiness 
I Got	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.00764	0.377	0.903	9.74e-05	0.109	0.0739	
Apartment	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.00686	0.57	0.733	0.000131	0.21	0.0306	
Garands	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.0199	0.478	0.708	0.0361	0.109	0.0436	
St. Walker	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.00384	0.26	0.879	0	0.32	0.0497	
Everything - Radio Edit	Ron Reeser	none 	0.207	0.742	0.876	0	0.338	0.0641	
Typhoon	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.605	0.469	0.38	0	0.108	0.0268	
12 Fingers	Young the Giant	indie pop,indie poptimism,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler	0.00461	0.5	0.7	0	0.317	0.0324	
Stare Into The Sun	Graffiti6	modern rock	0.0168	0.644	0.726	0.00261	0.29	0.0577	
Free	Graffiti6	modern rock	0.0104	0.656	0.7	0.00163	0.341	0.0422	
Little Talks	Of Monsters and Men	folk-pop,icelandic pop,indie folk,indie pop,metropopolis,modern rock,pop,stomp and holler	0.0234	0.455	0.786	0	0.145	0.0338	
L.O.V.	Fitz and The Tantrums	indie pop,indie poptimism,indietronica,la indie,modern rock,pop	0.285	0.728	0.887	0.0994	0.0527	0.0317	
Hang Me Up To Dry	Cold War Kids	garage rock,indie folk,indie pop,indie rock,indietronica,la indie,modern rock,piano rock,stomp and holler	0.0265	0.519	0.92	0.000799	0.367	0.033	
Love Interruption	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.645	0.582	0.365	1.03e-06	0.147	0.0388	
Sixteen Saltines	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.0136	0.603	0.868	7.04e-06	0.0767	0.0887	
Another Way to Die	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.0382	0.541	0.772	8.48e-05	0.0796	0.136	
Blunderbuss	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.541	0.38	0.395	0.0216	0.0852	0.0388	
Dear Mr. President	Fitz and The Tantrums	indie pop,indie poptimism,indietronica,la indie,modern rock,pop	0.471	0.682	0.835	0.023	0.0853	0.0319	
MoneyGrabber	Fitz and The Tantrums	indie pop,indie poptimism,indietronica,la indie,modern rock,pop	0.0803	0.699	0.881	8.86e-06	0.428	0.0303	
Barton Hollow	The Civil Wars	acoustic pop,folk christmas,folk-pop,indie christmas,indie folk,indie pop,indiecoustica,neo mellow,new americana,pop,stomp and holler,viral pop	0.123	0.403	0.659	0	0.0857	0.0303	
Walking On A Dream	Empire of the Sun	alternative dance,australian dance,dance-punk,indie pop,indietronica,new rave,synthpop	0.245	0.87	0.699	6.76e-06	0.0588	0.0459	
E=MC2 feat. Common	J Dilla	alternative hip hop,chillhop,detroit hip hop,escape room,hip hop,indie r&b,neo soul,underground hip hop	0.0208	0.888	0.779	0	0.593	0.272	
I'm Shakin'	Jack White	alternative rock,blues-rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.0142	0.586	0.782	0.00102	0.0673	0.235	
Find a Way	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0329	0.765	0.626	0	0.385	0.435	
Check the Rhime	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.024	0.893	0.615	0.000604	0.0915	0.185	
Bonita Applebum	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0697	0.874	0.581	0.0239	0.416	0.168	
Award Tour	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.00209	0.814	0.695	0.000126	0.161	0.237	
Can I Kick It?	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.145	0.844	0.688	0.00351	0.104	0.291	
Scenario - LP Mix	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0454	0.806	0.845	0.000344	0.106	0.295	
Buggin' Out	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0603	0.886	0.569	0.115	0.152	0.296	
If the Papes Come	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.164	0.747	0.652	0.000641	0.136	0.059	
Electric Relaxation	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.184	0.866	0.534	0.266	0.0929	0.229	
Jazz (We've Got)	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.639	0.823	0.692	0.000232	0.143	0.256	
I Left My Wallet in El Segundo	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0594	0.828	0.713	0	0.0877	0.247	
Hot Sex	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0733	0.916	0.597	8.21e-05	0.148	0.297	
Oh My God	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0501	0.842	0.664	0.0823	0.11	0.298	
Stressed Out	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.244	0.753	0.534	0	0.0832	0.231	
Luck of Lucien	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.095	0.891	0.575	0.00126	0.0992	0.192	
Description of a Fool	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0146	0.773	0.944	0.0604	0.063	0.0973	
Keeping It Moving	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.0897	0.899	0.416	2.9e-06	0.0216	0.404	
Sucka Nigga	A Tribe Called Quest	alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop	0.133	0.776	0.801	1.23e-06	0.314	0.252	
Vivrant Thing	Violator	none 	0.00543	0.916	0.681	0.000415	0.0556	0.0434	
Letterhead Remix (feat. Macklemore)	Sandpeople	abstract hip hop,underground rap	0.144	0.759	0.526	0	0.0876	0.419	
Icarus	Madeon	alternative dance,big room,brostep,catstep,complextro,edm,electro house,electronic trap,filter house,indietronica,progressive electro house,tropical house	0.000245	0.48	0.841	0.303	0.111	0.0529	
Lonely Boy	The Black Keys	alternative rock,blues-rock,classic rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.00417	0.356	0.872	0.00975	0.0997	0.068	
Gold On The Ceiling	The Black Keys	alternative rock,blues-rock,classic rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.00772	0.505	0.833	7.9e-05	0.069	0.0475	
Tighten Up	The Black Keys	alternative rock,blues-rock,classic rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.00121	0.504	0.705	4.12e-06	0.453	0.0665	
Cracks (Flux Pavilion Remix)	Bell Humble	none 	0.00206	0.404	0.931	0.000255	0.125	0.0881	
Reaching Out	NERO	brostep,edm,electro house,electronic trap	0.000443	0.448	0.85	0.00229	0.157	0.0297	
Promises	NERO	brostep,edm,electro house,electronic trap	4.16e-05	0.484	0.94	0.00344	0.483	0.0632	
Fire In Your New Shoes	Kaskade	big room,brostep,chicago house,edm,electro house,electronic trap,house,progressive electro house,progressive house,tropical house,vocal house	0.0642	0.802	0.621	6.88e-06	0.0896	0.0637	
Miami 2 Ibiza - (Swedish House Mafia vs. Tinie Tempah)	Swedish House Mafia	big room,edm,electro house,house,pop,pop rap,progressive electro house,tropical house	0.00466	0.73	0.937	4.98e-05	0.573	0.0675	
Dynasty	Kaskade	big room,brostep,chicago house,edm,electro house,electronic trap,house,progressive electro house,progressive house,tropical house,vocal house	0.0207	0.623	0.771	0	0.135	0.0384	
All That You Give	Kaskade	big room,brostep,chicago house,edm,electro house,electronic trap,house,progressive electro house,progressive house,tropical house,vocal house	0.267	0.586	0.632	0.00031	0.0847	0.0311	
I Got Mine	The Black Keys	alternative rock,blues-rock,classic rock,garage rock,indie rock,modern blues,modern rock,punk blues,rock	0.0292	0.252	0.827	0.508	0.173	0.0406	
Money Trees	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.0726	0.739	0.526	0	0.215	0.101	
m.A.A.d city	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.0562	0.507	0.721	3.32e-06	0.443	0.271	
Sing About Me, I'm Dying Of Thirst	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.289	0.573	0.756	4.26e-05	0.143	0.467	
Compton	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.0773	0.327	0.905	0	0.381	0.404	
Swimming Pools (Drank)	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.00497	0.716	0.464	9.54e-05	0.081	0.24	
Super Rich Kids	Frank Ocean	dance pop,indie r&b,neo soul,pop,pop rap,rap	0.269	0.592	0.423	0	0.207	0.0904	
Keisha's Song (Her Pain)	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.429	0.465	0.854	0	0.618	0.377	
Kush & Corinthians	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.726	0.383	0.731	0	0.504	0.201	
Illuminate (feat. Kendrick Lamar)	Ab-Soul	alternative hip hop,deep underground hip hop,dirty south rap,escape room,gangster rap,hip hop,indie r&b,pop rap,rap,soul flow,southern hip hop,trap music,underground hip hop	0.384	0.719	0.855	0	0.0696	0.39	
Backseat Freestyle	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.000662	0.591	0.66	0	0.232	0.291	
Never Mess With Sunday	Yppah	chillstep,chillwave,electronic,intelligent dance music,ninja,nu jazz,trip hop,wonky	0.00807	0.52	0.561	0.485	0.142	0.0255	
Film Burn	Yppah	chillstep,chillwave,electronic,intelligent dance music,ninja,nu jazz,trip hop,wonky	0.0171	0.578	0.678	0.28	0.183	0.0323	
A.D.H.D	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.33	0.609	0.799	0	0.108	0.24	
Guilt	NERO	brostep,edm,electro house,electronic trap	0.00669	0.255	0.849	1.21e-06	0.144	0.0702	
Feel It All Around	Washed Out	alternative dance,chillwave,dream pop,freak folk,indie folk,indie pop,indie psych-rock,indie r&b,indie rock,indietronica,modern rock,neo-psychedelic,new rave,noise pop,nu gaze,shimmer pop,synthpop,vapor soul	0.000105	0.34	0.737	0.762	0.0699	0.0582	
A Walk	Tycho	chillwave,downtempo,electronic,indietronica,intelligent dance music	0.329	0.659	0.716	0.909	0.127	0.0317	
California Soul	Marlena Shaw	chicago soul,deep funk,disco,funk,jazz blues,jazz funk,memphis soul,motown,quiet storm,soul,soul blues,soul christmas,soul jazz,southern soul	0.627	0.508	0.823	7.1e-06	0.39	0.0644	
1Train	A$AP Rocky	east coast hip hop,pop rap,rap,trap music	0.349	0.622	0.872	0	0.695	0.332	
Fashion Killa	A$AP Rocky	east coast hip hop,pop rap,rap,trap music	0.315	0.794	0.82	0	0.531	0.152	
Wild for the Night	A$AP Rocky	east coast hip hop,pop rap,rap,trap music	0.0452	0.756	0.857	0	0.121	0.336	
Summit (feat. Ellie Goulding)	Skrillex	brostep,complextro,edm,electro,electro house	0.226	0.692	0.773	0.0104	0.108	0.0359	
Heads Will Roll - A-Trak Remix	Yeah Yeah Yeahs	alternative dance,alternative rock,brooklyn indie,dance-punk,garage rock,indie pop,indie rock,indietronica,modern rock,neo-psychedelic,new rave,synthpop	0.00925	0.752	0.629	0.26	0.0745	0.0886	
The Recipe - Bonus Track	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.000694	0.76	0.778	0	0.348	0.0769	
Bitch, Don’t Kill My Vibe	Kendrick Lamar	hip hop,pop rap,rap,west coast rap	0.0146	0.648	0.689	0	0.424	0.0761	
Silhouettes - Original Radio Edit	Avicii	big room,dance pop,edm,pop,tropical house	0.171	0.604	0.788	0.0689	0.132	0.0639	
Spectrum - Extended Mix	Zedd	complextro,dance pop,edm,electro house,german techno,pop,tropical house	0.00489	0.682	0.732	0.196	0.174	0.0454	
Slam the Door	Zedd	complextro,dance pop,edm,electro house,german techno,pop,tropical house	0.000245	0.814	0.569	0.422	0.0753	0.116	
Close To Me	Benny Benassi	big room,edm,electro house,progressive electro house	0.137	0.308	0.89	0	0.119	0.281	
Bulls On Parade	Rage Against The Machine	alternative metal,alternative rock,funk metal,funk rock,hard rock,modern rock,nu metal,post-grunge,rap metal,rap rock,rock	0.0124	0.412	0.919	0.0601	0.424	0.184	
Language	Porter Robinson	big room,brostep,catstep,complextro,edm,electro house,electronic trap,progressive electro house,tropical house	0.0168	0.737	0.614	0.0534	0.0682	0.4	
Shave It (501 Remix)	Zedd	complextro,dance pop,edm,electro house,german techno,pop,tropical house	0.00116	0.643	0.92	0.119	0.0697	0.0593	
I Can't Hear You	The Dead Weather	alternative rock,blues-rock,dance-punk,garage rock,indie rock,modern blues,modern rock,punk blues	0.0482	0.529	0.754	0.00598	0.108	0.182	
Lost At Sea	Zedd	complextro,dance pop,edm,electro house,german techno,pop,tropical house	0.02	0.567	0.823	0	0.126	0.038	
Hustle And Cuss	The Dead Weather	alternative rock,blues-rock,dance-punk,garage rock,indie rock,modern blues,modern rock,punk blues	0.0527	0.483	0.89	0.0299	0.248	0.196	
Suin Romanticon	Monsieur Periné	colombian rock,cumbia,latin alternative	0.169	0.721	0.701	0.146	0.168	0.0529	
How You Like Me Now	The Heavy	funk,garage rock,modern blues,modern rock	0.000973	0.647	0.71	0.703	0.0777	0.029	
Don't Sit Down 'Cause I've Moved Your Chair	Arctic Monkeys	garage rock,indie rock,modern rock,permanent wave,sheffield indie	0.0191	0.434	0.912	0.278	0.326	0.0451	
All My Own Stunts	Arctic Monkeys	garage rock,indie rock,modern rock,permanent wave,sheffield indie	0.00112	0.517	0.941	0.016	0.256	0.0546	
Steady, As She Goes	The Raconteurs	alternative rock,blues-rock,classic rock,funk rock,garage rock,indie rock,modern blues,modern rock,neo-psychedelic,post-grunge,rock	0.00882	0.53	0.601	0.0211	0.083	0.112	
Salute Your Solution	The Raconteurs	alternative rock,blues-rock,classic rock,funk rock,garage rock,indie rock,modern blues,modern rock,neo-psychedelic,post-grunge,rock	0.00781	0.266	0.946	2.73e-06	0.26	0.171	
Level	The Raconteurs	alternative rock,blues-rock,classic rock,funk rock,garage rock,indie rock,modern blues,modern rock,neo-psychedelic,post-grunge,rock	0.112	0.566	0.673	0.237	0.124	0.0546	
Top Yourself	The Raconteurs	alternative rock,blues-rock,classic rock,funk rock,garage rock,indie rock,modern blues,modern rock,neo-psychedelic,post-grunge,rock	0.188	0.505	0.727	0.000826	0.0862	0.058	
R U Mine?	Arctic Monkeys	garage rock,indie rock,modern rock,permanent wave,sheffield indie	0.0468	0.52	0.785	0	0.698	0.0329	
We’re Going To Be Friends	The White Stripes	alternative rock,blues-rock,classic rock,garage rock,indie rock,modern rock,permanent wave,punk blues,rock	0.668	0.519	0.46	0	0.0793	0.0275	
Domo23	Tyler, The Creator	hip hop,pop rap,rap,southern hip hop,trap music	0.0595	0.751	0.649	0	0.269	0.334	
The Next Episode	Dr. Dre	g funk,gangster rap,hip hop,pop rap,rap,southern hip hop,west coast rap	0.0313	0.92	0.891	0	0.083	0.253	
Drop It Like It's Hot	Snoop Dogg	g funk,gangster rap,hip hop,pop christmas,pop rap,rap,southern hip hop,west coast rap	0.188	0.912	0.553	0	0.102	0.205	
Candy Shop	50 Cent	east coast hip hop,gangster rap,hip hop,pop rap,rap	0.0305	0.609	0.588	0.000142	0.369	0.481	
White Walls (feat. ScHoolboy Q & Hollis)	Macklemore & Ryan Lewis	pop,pop rap	0.0619	0.765	0.762	0	0.406	0.158	
Attention Span	Rebelution	reggae rock	0.0103	0.675	0.743	8.07e-05	0.145	0.0522	
Panic	Sublime With Rome	reggae rock	0.00608	0.392	0.865	0	0.182	0.0422	
You Better Listen	Sublime With Rome	reggae rock	0.0132	0.679	0.706	0	0.145	0.0647	
Take It Or Leave It	Sublime With Rome	reggae rock	0.0367	0.677	0.716	0	0.148	0.272	
Spun	Sublime With Rome	reggae rock	0.00866	0.671	0.826	0.000214	0.0751	0.0619	
2am	Slightly Stoopid	reggae rock	0.00594	0.794	0.577	0.37	0.0708	0.111	
Wiseman	Slightly Stoopid	reggae rock	0.735	0.717	0.373	0	0.303	0.061	
Closer To The Sun	Slightly Stoopid	reggae rock	0.199	0.562	0.728	0.00405	0.252	0.0275	
Young Blood	The Naked And Famous	alternative dance,indie pop,indie rock,indietronica,metropopolis,modern rock,shimmer pop,synthpop	7.14e-05	0.595	0.866	0.000143	0.629	0.0316	
F**kin' Problems	A$AP Rocky	east coast hip hop,pop rap,rap,trap music	0.0173	0.854	0.703	2.4e-06	0.109	0.285	
Closer	Kings of Leon	alternative rock,garage rock,indie pop,indie rock,modern rock,neo mellow,rock	0.469	0.398	0.768	2.02e-05	0.106	0.0392	
